date,arena,age_group,home,away,parallel_slot
2026-09-19,Sandefjord ishall,U8,Frisk Asker 2,Holmen Hockey Rød,1
2026-09-19,Sandefjord ishall,U8,Jutul Rød,Frisk Asker 3,2
2026-09-19,Sandefjord ishall,U8,Holmen Hockey Hvit,Ringerike 2,3
2026-09-19,Sandefjord ishall,U8,Jar Blå,Frisk Asker 2,0
2026-09-19,Sandefjord ishall,U8,Jutul Grønn,Jutul Rød,1
2026-09-19,Sandefjord ishall,U8,Holmen Hockey Rød,Holmen Hockey Hvit,2
2026-09-19,Sandefjord ishall,U8,Frisk Asker 3,Ringerike 2,3
2026-09-19,Sandefjord ishall,U8,Jar Blå,Jutul Rød,0
2026-09-19,Sandefjord ishall,U8,Holmen Hockey Hvit,Frisk Asker 2,1
2026-09-19,Sandefjord ishall,U8,Ringerike 2,Jutul Grønn,2
2026-09-19,Sandefjord ishall,U8,Frisk Asker 3,Holmen Hockey Rød,3
2026-09-19,Sandefjord ishall,U8,Jar Blå,Holmen Hockey Hvit,0
2026-09-19,Sandefjord ishall,U8,Jutul Rød,Ringerike 2,1
2026-09-19,Sandefjord ishall,U8,Frisk Asker 2,Frisk Asker 3,2
2026-09-19,Sandefjord ishall,U8,Jutul Grønn,Holmen Hockey Rød,3
2026-09-20,Baerum ishall,JU12,Jutul/Jar Kittens,Kongsberg/Tønsberg,0
2026-09-20,Baerum ishall,JU12,Skien,Frisk Asker Orange,1
2026-09-20,Baerum ishall,JU12,Jutul/Jar Kittens,Frisk Asker Orange,0
2026-09-20,Baerum ishall,JU12,Skien,Kongsberg/Tønsberg,1
2026-09-20,Baerum ishall,JU12,Jutul/Jar Kittens,Skien,0
2026-09-20,Baerum ishall,JU12,Frisk Asker Orange,Kongsberg/Tønsberg,1
2026-09-20,Baerum ishall,U10,Jutul Grønn,Tønsberg,0
2026-09-20,Baerum ishall,U10,Jar Grønn,Ringerike 1,1
2026-09-20,Baerum ishall,U10,Frisk Asker 2,Holmen Hockey Hvit,2
2026-09-20,Baerum ishall,U10,Jutul Grønn,Ringerike 1,0
2026-09-20,Baerum ishall,U10,Holmen Hockey Hvit,Tønsberg,1
2026-09-20,Baerum ishall,U10,Frisk Asker 2,Jar Grønn,2
2026-09-20,Baerum ishall,U10,Jutul Grønn,Holmen Hockey Hvit,0
2026-09-20,Baerum ishall,U10,Ringerike 1,Frisk Asker 2,1
2026-09-20,Baerum ishall,U10,Tønsberg,Jar Grønn,2
2026-09-20,Baerum ishall,U10,Jutul Grønn,Frisk Asker 2,0
2026-09-20,Baerum ishall,U10,Jar Grønn,Holmen Hockey Hvit,1
2026-09-20,Baerum ishall,U10,Tønsberg,Ringerike 1,2
2026-09-20,Baerum ishall,U10,Jutul Grønn,Jar Grønn,0
2026-09-20,Baerum ishall,U10,Frisk Asker 2,Tønsberg,1
2026-09-20,Baerum ishall,U10,Holmen Hockey Hvit,Ringerike 1,2
2026-09-20,Ringerikshallen,U12,Ringerike 2,Jar Blå,0
2026-09-20,Ringerikshallen,U12,Holmen Hockey Rød,Tønsberg Hvit,1
2026-09-20,Ringerikshallen,U12,Ringerike 2,Tønsberg Hvit,0
2026-09-20,Ringerikshallen,U12,Holmen Hockey Rød,Jar Blå,1
2026-09-20,Ringerikshallen,U12,Ringerike 2,Holmen Hockey Rød,0
2026-09-20,Ringerikshallen,U12,Tønsberg Hvit,Jar Blå,1
2026-09-26,Ringerikshallen,U10,Ringerike 3,Frisk Asker 4,0
2026-09-26,Ringerikshallen,U10,Holmen Hockey Sort,Jutul Rød,1
2026-09-26,Ringerikshallen,U10,Frisk Asker 3,Jar Blå,2
2026-09-26,Ringerikshallen,U10,Ringerike 3,Jutul Rød,0
2026-09-26,Ringerikshallen,U10,Jar Blå,Frisk Asker 4,1
2026-09-26,Ringerikshallen,U10,Frisk Asker 3,Holmen Hockey Sort,2
2026-09-26,Ringerikshallen,U10,Ringerike 3,Jar Blå,0
2026-09-26,Ringerikshallen,U10,Jutul Rød,Frisk Asker 3,1
2026-09-26,Ringerikshallen,U10,Frisk Asker 4,Holmen Hockey Sort,2
2026-09-26,Ringerikshallen,U10,Ringerike 3,Frisk Asker 3,0
2026-09-26,Ringerikshallen,U10,Holmen Hockey Sort,Jar Blå,1
2026-09-26,Ringerikshallen,U10,Frisk Asker 4,Jutul Rød,2
2026-09-26,Ringerikshallen,U10,Ringerike 3,Holmen Hockey Sort,0
2026-09-26,Ringerikshallen,U10,Frisk Asker 3,Frisk Asker 4,1
2026-09-26,Ringerikshallen,U10,Jar Blå,Jutul Rød,2
2026-09-26,Varner Arena / Askerhallen,U11,Frisk Asker 1,Jar Svart,0
2026-09-26,Varner Arena / Askerhallen,U11,Skien,Ringerike 1,1
2026-09-26,Varner Arena / Askerhallen,U11,Jar Rød,Tønsberg Rød,2
2026-09-26,Varner Arena / Askerhallen,U11,Frisk Asker 1,Ringerike 1,0
2026-09-26,Varner Arena / Askerhallen,U11,Tønsberg Rød,Jar Svart,1
2026-09-26,Varner Arena / Askerhallen,U11,Jar Rød,Skien,2
2026-09-26,Varner Arena / Askerhallen,U11,Frisk Asker 1,Tønsberg Rød,0
2026-09-26,Varner Arena / Askerhallen,U11,Ringerike 1,Jar Rød,1
2026-09-26,Varner Arena / Askerhallen,U11,Jar Svart,Skien,2
2026-09-26,Varner Arena / Askerhallen,U11,Frisk Asker 1,Jar Rød,0
2026-09-26,Varner Arena / Askerhallen,U11,Skien,Tønsberg Rød,1
2026-09-26,Varner Arena / Askerhallen,U11,Jar Svart,Ringerike 1,2
2026-09-26,Varner Arena / Askerhallen,U11,Frisk Asker 1,Skien,0
2026-09-26,Varner Arena / Askerhallen,U11,Jar Rød,Jar Svart,1
2026-09-26,Varner Arena / Askerhallen,U11,Tønsberg Rød,Ringerike 1,2
